id	review	rating	fresh	critic	top_critic	publisher	date
3	Cosmopolis is Cronenberg's first movie since Videodrome to not only identify a particular zeitgeist but embody it in form and content.		fresh	Amy Taubin	0	Film Comment Magazine	August 16, 2012
3	I never imagined describing a film as a cross between The Bonfire of the Vanities and Last Year at Marienbad...		fresh	Alonso Duralde	1	TheWrap	August 16, 2012
3	It's all vapid snark, didactic sermonizing and bewildering shock tactics.	2/4	rotten	Claudia Puig	1	USA Today	August 16, 2012
3	DeLillo's brilliant analysis of the destructive power of wealth that took such seductive hold on page has a tough time gaining traction on screen.	2.5/5	rotten	Betsy Sharkey	1	Los Angeles Times	August 16, 2012
3	It's like a dream that engages and drifts, until waking with a start in a finale that's as bracing and raw as the rest of the film is coolly distant.		fresh	Scott Tobias	1	NPR	August 16, 2012
3	Frustratingly bland work from lead Robert Pattinson results in an awfully watery stew.	2/5	rotten	Elizabeth Weitzman	1	New York Daily News	August 16, 2012
3	Conventional it is not. Engrossing it is.		fresh	John Anderson	1	Wall Street Journal	August 16, 2012
3	"Mr. Cronenberg's direction throughout ""Cosmopolis"" is impeccable, both inside the limo and out."	3.5/5	fresh	Manohla Dargis	1	New York Times	August 16, 2012
3	If you can get past the psychological density of the source material and the tabloid noise around the star , this mesmerizing mind-bender ought to prove that Robert Pattinson really can act and Director David Cronenberg never runs from a challenge.	3/4	fresh	Peter Travers	1	Rolling Stone	August 16, 2012
3	...a serenely crazed view of the present. The master is back.		fresh	Chris Barsanti	0	Film Journal International	August 16, 2012
3	Sometimes, even a little gratuitous nudity can't save a movie. This is one of those occasions.	1/4	rotten	James Berardinelli	1	ReelViews	August 16, 2012
3	Cronenberg turns a difficult, sometimes frustrating book into a difficult, sometimes frustrating movie, though one with many of the same rewards as its source material ...	C	rotten	Keith Phipps	1	AV Club	August 16, 2012
3	Easier to admire than to love, David Cronenberg's Cosmopolis is an amplified, feverish vision of the one percent as scarcely human.	7.5/10	fresh	Alison Willmore	0	Movieline	August 15, 2012
3	"Cosmopolis"" is Cronenberg's best film since ""eXistenZ"" and further viewings may place it higher than that. "	A-	fresh	Jordan Hoffman	1	Film.com	August 15, 2012
3	We're supposed to be feeling . . . something. That we don't might be Cronenberg's own endgame.		rotten	Karina Longworth	1	Village Voice	August 14, 2012
3	Cosmopolis is almost certainly some kind of masterpiece, but I have to admit it's probably not for everyone.	5/5	fresh	Glenn Kenny	1	MSN Movies	August 14, 2012
3	It's better to think of David Cronenberg's Cosmopolis as a dream than a movie. 	7/10	fresh	Matt Singer	0	ScreenCrush	August 14, 2012
3	Don't panic, but Robert Pattinson may have been neutered.	4/5	fresh	David Ehrlich	0	Boxoffice Magazine	August 14, 2012
3	Could easily have been produced as a Tony-winning stageplay but as cinema, it never strives to achieve the heights of even the lowest of Cronenberg milestones.	5.5/10	rotten	Edward Douglas	0	ComingSoon.net	August 13, 2012
3	The more abstract and overtly stylized Cosmopolis is, the more it thrills.	B-	fresh	Mike D'Angelo	1	AV Club	August 13, 2012
3	In the company of actual actors, Pattinson is reduced to a piece of furniture, most of which displays more expressiveness than the immortal R-Patz. 		rotten	Marshall Fine	0	Hollywood &amp; Fine	August 13, 2012
3	Diamond-hard and dazzlingly brilliant, David Cronenberg's film plays like a deeply perverse, darkly comic successor to Videodrome.	3.5/4	fresh	Budd Wilkins	0	Slant Magazine	August 12, 2012
3	"[VIDEO ESSAY] If intellectual sarcasm is your thing, you might like ""Cosmopolis."" Either way, the movie is too pretentious for its own good. "	C-	fresh	Cole Smithey	0	ColeSmithey.com	August 10, 2012
3	A sensual, propulsive thriller, the apocalypse as viewed from lush interiors and a hermetic remove.	4/5	fresh	Joshua Rothkopf	1	Time Out	August 7, 2012
3	Hard to endure due to its pretentious nature, but deserves credit for inspiring a unique form of wrath - rage against the Cronenberg	1.5/5	rotten	Cameron Williams	0	The Popcorn Junkie	August 6, 2012
3	If anything, Cosmopolis is more timely now than when DeLillo published it almost a decade ago.	3/5	fresh	Stephen Romei	0	The Australian	August 6, 2012
3	The film is obtuse, talky, remote and sometimes baffling, but it is also full of ideas and Cronenberg's uncompromising belief in the art of cinema. Imagine that.	3.5/5	fresh	Paul Byrnes	0	Sydney Morning Herald	August 6, 2012
3	Another Cronenberg film badly in need of an exploding head. 	1/5	rotten	Jim Schembri	0	3AW	August 5, 2012
3	Hyper-stylised, cold, cerebral, difficult, stylish, at times visually sublime and at times unintentionally humorous, Cosmopolis is David Cronenberg back in Cronenberg Land ... You can't say it's anything other than unique.	3.5/5	fresh	CJ Johnson	0	ABC Radio (Australia)	August 4, 2012
3	Don't listen to the haters -- this linguistically complex and eloquently dark film is much more clever than pretentious.	4/5	fresh	Grant McAvaney	0	MovieFIX	August 2, 2012
3	Cosmopolis is a soulless, confusing, bore of a film, a pretentious message movie where the message itself is lost in dialogue equal to verbal masturbation where big questions are asked, and waffling diatribes are given in response.	2/5	rotten	Matthew Pejkovic	0	Matt's Movie Reviews	August 1, 2012
3	Cosmopolis is the first great GFC art film, linked to financial and social catastrophe in tantalisingly evasive ways.		fresh	Luke Buckmaster	0	The Daily Review/Crikey	August 1, 2012
3	Pattinson ditches the fangs but keeps the brooding, in a thoughtful essay on a man fighting for meaning within hollow surrounds. Riveting, poetic and thoroughly Cronenberg.	4/5	fresh	Ed Gibbs	0	The Sunday Age	July 30, 2012
3	I had hoped the film would engage me more and turn into something fascinating, intriguing and magical - it is not quite any of those things		rotten	Andrew L. Urban	0	Urban Cinefile	July 29, 2012
3	Just about important enough to be self-important.		fresh	Charlie Lyne	0	Ultra Culture	July 6, 2012
3	An immaculate journey into weird.		fresh	Chris Laverty	0	Clothes on Film	June 28, 2012
3	One day Cosmopolis may well have either been completely forgotten - or seen to have been ahead of its time, hugely influential and something of an overlooked classic experiment.	2/5	rotten	Graham Young	0	Birmingham Mail 	June 27, 2012
3	It's a difficult film to sit through, but if you allow yourself to sit back and be immersed into the strange and despicable world which Cronenberg creates with these characters, then you may just find something there that resonates.	6/10	fresh	Robert Keeling	0	Starburst	June 25, 2012
3	This bristling evocation of the last days of capitalism is compelling and unsettling in equal measure but ultimately memorable for being so very close to recent global happenings.	4/5	fresh	Gail Tolley	0	The List	June 20, 2012
3	Cosmopolis may, like Packer's limo, be an elaborately conceived but essentially vacant vehicle -- yet it has a master at the wheel.	4/5	fresh	Jonathan Romney	0	Independent (UK)	June 18, 2012
3	Here's something truly weird: as soon as I was back in the real world, Cosmopolis knocked me sideways.	3/5	fresh	Charlotte O'Sullivan	0	London Evening Standard	June 18, 2012
3	The symbols are all functional and Cronenberg's allegory for a civilization divorcing itself from its own humanity is entirely realized, but without a potent emotional angle, it's little more than an intellectual exercise.	3/5	fresh	Katherine Monk	0	Canada.com	June 18, 2012
3	It is the sort of film that shouldn't be cynically propping itself up with a name draw like Pattinson, but more importantly, it is the sort of film that should rouse the mind rather than dullen it with pretensions to the lectern.	1.5/5	rotten	Shaun Munro	0	What Culture	June 17, 2012
3	Cosmopolis demonstrates that even a flawed throwback to Cronenberg's roots proves they run fairly deep.	B	fresh	Eric Kohn	1	indieWire	June 15, 2012
3	As a quiet expression of collective neuroses, it must be considered a limited success.	3/5	fresh	Donald Clarke	0	Irish Times	June 15, 2012
3	As Cronenberg's film inches towards its destination, some critics detect a profound and coruscating anti-capitalist satire, but I suspect most viewers will reckon they've been taken for a ride.		rotten	Jason Best	0	Movie Talk	June 15, 2012
3	A smug, academic thesis on the evils of capitalism, Cosmopolis is as exciting as someone reading you the entire book in a flat, unvarying monotone.	2/5	rotten	Allan Hunter	0	Daily Express (UK)	June 15, 2012
3	David Cronenberg has made some fantastic films - Eastern Promises, The Fly - but this isn't one of them.	2/5	rotten	Alex Zane	0	The Sun (UK)	June 14, 2012
3	This is vintage David Cronenberg, but an even more sophisticated, refined version.	3.5/4	fresh	Chris Alexander	0	Fangoria	June 14, 2012
3	Like good sci-fi, every element rings prescient, drawing upon our fears and anxieties as a species and a civilization.		fresh	Ryan Lattanzio	0	Thompson on Hollywood	June 14, 2012
3	If DeLillo talks a lot, that's his job: he's a writer. When Cronenberg movies talk - and the density of dialogue here has no mercy - they die sitting up, like a teacher at his desk.	1/5	rotten	Nigel Andrews	0	Financial Times	June 14, 2012
3	Every internal decision, from cameo casting to the eerie quiet of the sound design enclosing us in this air-conditioned luxury coffin, is just about unimprovable.	3/5	fresh	Tim Robey	0	Daily Telegraph (UK)	June 14, 2012
3	A part hypnotic, part profound, part send-up meditation on our financially imploding time.	4/5	fresh	Ian Nathan	0	Empire Magazine	June 14, 2012
3	Artful, intelligent and wilfully obtuse, Cronenberg uses his skill to hold our interest through this oddity of a film.	3/5	fresh	Rich Cline	0	Shadows on the Wall	June 14, 2012
3	Cronenberg's DeLillo adaptation has some interesting ideas, presents an intriguingly sealed-off view of the world and features a genuinely superb performance from Robert Pattinson...	3/5	fresh	Matthew Turner	0	ViewLondon	June 14, 2012
3	Cronenberg is at play in this slippery, surreal affair that is best appreciated with open ears and an open mind -- and begs to be seen twice.	3.5/5	fresh		0	Montreal Gazette	June 13, 2012
3	The film certainly makes its point - that a risk-averse life of unending luxury is no life at all - but it makes it so listlessly that you really won't care.		rotten	Francesca Steele	0	Sky Cinema	June 13, 2012
3	It might just be the weirdest movie of the year.	3/5	fresh	Rob James	0	Total Film	June 11, 2012
3	The result is more interesting as an intellectual experience than as entertainment; you watch Cosmopolis fully aware that it wants to be deconstructed rather than enjoyed.	3/5	fresh	Norman Wilner	0	NOW Toronto	June 8, 2012
3	Cosmopolis is, for the most part and without mincing words, an astonishingly boring drama that marks the latest misfire for a once rock-solid filmmaker...	1/4	rotten	David Nusair	0	Reel Film Reviews	June 8, 2012
3	Adopting a convincing American accent, Pattinson aces the role despite his panic attacks before the film starting shooting in Toronto.	3.5/5	fresh	Bruce Kirkland	0	Jam! Movies	June 7, 2012
3	An extraordinary psychological and sensual immersion in the psychosis of capitalism with a brilliant performance from Robert Pattinson.	5/5	fresh	Catherine Bray	0	Film4	June 3, 2012
3	Not even Cronenberg's trademark high- and low-angle shots, as well as one glorious moment of erotically charged Cronenbergian body horror, can stir the film from its stylish torpor.		rotten	Jon Frosch	0	France24	May 30, 2012
3	As a book, I'm sure COSMOPOLIS was fascinating. As a film, anchored by a dull lead, it borders on excrutiating.	5/10	rotten	Chris Bumbray	0	JoBlo's Movie Emporium	May 30, 2012
3	A polemic rather than a film. Why Cronenberg thought this DeLillo novel would make a compelling film is so confounding, perhaps only derivative traders could come up with an answer. Maybe.	3/10	rotten	Kimberly Gadette	0	Doddle	May 29, 2012
3	Its portrayal of civilisation as an impossibly intricate, crucially flawed equation, about to buckle and snap, is sinuously compelling.	4/5	fresh	Robbie Collin	0	Daily Telegraph (UK)	May 26, 2012
3	Yes Cosmopolis bears a striking gloss, and is shot basically well, but it is way too showy without the necessary substance, and as a result feels fatally hollow.	C-	rotten	Simon Gallagher	0	Film School Rejects	May 26, 2012
3	[A] vapid, claustrophobic drama...		rotten	Richard Corliss	1	TIME Magazine	May 25, 2012
3	What we can't argue is that Cosmopolis is the work of a master filmmaker, one who is determined to have us think about the ideas packed into the trunk of this limo bound for the furthest corners of the psyche.		fresh	Peter Howell	1	Toronto Star	May 25, 2012
3	It goes without saying that it is weird, but even from the director of eXistenZ and Videodrome it is bizarre, with the mannered, affected performances of the former and the outsider characters of the latter.		fresh	Damon Wise	0	Empire Magazine	May 25, 2012
3	"Hinky, kinky, defiantly unlovable ""Cosmopolis"" lands in our laps with bristly self-assurance. ""You asked for this,"" it seems to be saying, one of the few things unspoken amid its torrent of thematically pointed verbiage. ""Let's see if you really want it."		fresh	Guy Lodge	0	HitFix	May 25, 2012
3	[Cronenberg's] dependence on DeLillo's source material means that the director is not entirely his own man, and the atmosphere of impending catastrophe that builds in the course of the film is constantly undermined by its bookish lines and set-ups.		rotten	Lee Marshall	0	Screen International	May 25, 2012
3	An airless and inert expression of a capitalist kingpin's odyssey across a threatening New York City.		rotten	Todd McCarthy	1	Hollywood Reporter	May 25, 2012
3	Beyond its withering critique of contemporary capitalism, Cosmopolis is also fascinated by that ongoing Cronenbergian concern: the limitations and mutations of the human body. 		fresh	David Jenkins	0	Little White Lies	May 25, 2012
3	Threatens to soar and to be important, but it only offers flashes of lucidity. That said, there's a consistent air of charged, end-of-days menace running through the film, which Cronenberg handles with an unbroken sense of precision and confidence.	3/5	fresh	Dave Calhoun	1	Time Out	May 25, 2012
3	A parade of hollow didactic encounters.		rotten	Owen Gleiberman	1	Entertainment Weekly	May 25, 2012
3	[An] agonisingly self-conscious and meagre piece of work.	2/5	rotten	Peter Bradshaw	0	Guardian	May 25, 2012
3		B	fresh	Emanuel Levy	0	EmanuelLevy.Com	December 25, 2012
5	This is not the smoothest trip: the transitions are bumpy, the lip-synching's imperfect...But rough edges are more than offset by contagious vitality...It may not be precision-tooled, but it's triumphantly alive.		fresh	David Ansen	1	Newsweek	February 26, 2018
5	Charming tale of songwriter finding her voice has profanity. 	4/5	fresh	Brian Costello	0	Common Sense Media	July 12, 2016
5	The lead, Ileana Douglas, is good, but the musical film suffers from repetitive structure and lack of sufficiently interesting ideas.	C+	fresh	Emanuel Levy	0	EmanuelLevy.Com	June 7, 2011
5	An intelligent, engaging comedy-drama that will have audiences tapping their toes and running off to buy the soundtrack.	3.5/4	fresh	Michael Dequina	0	TheMovieReport.com	September 10, 2005
5	Illeana Douglas grabs onto her first starring role with passion and conviction.		fresh	Frank Wilkins	0	ReelTalk Movie Reviews	December 3, 2003
5	Pean to creativity and a celebration of one woman's indomitable creativity.		fresh		0	Spirituality and Practice	August 27, 2002
5		3/5	fresh	Cole Smithey	0	ColeSmithey.com	October 10, 2005
5		2/5	rotten	Chuck O'Leary	0	Fantastica Daily	October 9, 2005
